"시도별(1)","설립주체별(1)",2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025
"시도별(1)","설립주체별(1)",학교수 (개),학교수 (개),학교수 (개),학교수 (개),학교수 (개),학교수 (개),학교수 (개),학교수 (개),학교수 (개),학과수 (개),재적학생수 (명),재적학생수 (명),재적학생수 (명),재적학생수 (명),재적학생수 (명),재적학생수 (명),재적학생수 (명),재적학생수 (명),재적학생수 (명),재적학생수 (명),재적학생수 (명),재적학생수 (명),재적학생수 (명),재적학생수 (명),교직원수 (명),교직원수 (명),교직원수 (명),교직원수 (명),교직원수 (명),입학자수 (명),입학자수 (명),졸업자수 (명),졸업자수 (명)
"시도별(1)","설립주체별(1)",소계,주야별,주야별,주야별,주야별,남여별,남여별,남여별,남여별,소계,소계,여자,1학년,1학년,2학년,2학년,3학년,3학년,4학년,4학년,5학년,5학년,6학년,6학년,소계,교원수,교원수,직원수,직원수,소계,여자,소계,여자
"시도별(1)","설립주체별(1)",소계,소계,주간,야간,주야간,소계,남자,여자,공학,소계,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,소계,여자,소계,여자,소계,소계,소계,소계
"대전광역시","사립",8,8,8,-,-,8,-,-,8,416,63727,26161,17516,6947,17925,6026,13050,5884,15091,7246,145,58,-,-,3192,2105,680,1087,526,12629,6135,10327,5274
"울산광역시","계",2,2,1,-,1,2,-,-,2,115,17993,6258,4106,1436,5447,1369,3920,1441,4440,1978,80,34,-,-,2131,1324,264,807,422,3211,1287,2962,1292
"울산광역시","국립",1,1,1,-,-,1,-,-,1,27,2396,640,561,180,594,160,742,162,499,138,-,-,-,-,718,272,33,446,248,497,159,414,99
"울산광역시","사립",1,1,-,-,1,1,-,-,1,88,15597,5618,3545,1256,4853,1209,3178,1279,3941,1840,80,34,-,-,1413,1052,231,361,174,2714,1128,2548,1193
"세종특별자치시","계",2,2,2,-,-,2,-,-,2,96,16889,6776,4745,1604,4037,1371,3950,1733,4009,2003,119,51,29,14,737,350,106,387,228,3205,1427,2651,1136
"세종특별자치시","사립",2,2,2,-,-,2,-,-,2,96,16889,6776,4745,1604,4037,1371,3950,1733,4009,2003,119,51,29,14,737,350,106,387,228,3205,1427,2651,1136
"경기도","계",30,30,13,-,17,30,-,-,30,1874,278662,115790,68928,27954,74022,24295,63487,28369,71049,34640,962,442,214,90,15095,8341,2298,6754,3532,51997,24223,45489,21943
"경기도","국립",1,1,-,-,1,1,-,-,1,107,8660,2782,1919,664,2617,606,1956,723,2127,768,41,21,-,-,642,290,64,352,217,1615,597,1372,524
"경기도","사립",29,29,13,-,16,29,-,-,29,1767,270002,113008,67009,27290,71405,23689,61531,27646,68922,33872,921,421,214,90,14453,8051,2234,6402,3315,50382,23626,44117,21419
"강원특별자치도","계",8,8,5,-,3,8,-,-,8,970,83738,30372,20164,7688,23982,6769,19279,7328,19920,8465,258,81,135,41,5828,3218,976,2610,1429,15416,6664,13456,5969
"강원특별자치도","국립",2,2,2,-,-,2,-,-,2,458,38678,13018,9286,3284,11534,2829,8749,3163,8934,3666,123,57,52,19,2662,1271,324,1391,812,6806,2824,5756,2382
"강원특별자치도","사립",6,6,3,-,3,6,-,-,6,512,45060,17354,10878,4404,12448,3940,10530,4165,10986,4799,135,24,83,22,3166,1947,652,1219,617,8610,3840,7700,3587
"충청북도","계",11,11,8,-,3,11,-,-,11,785,85925,34260,22036,8967,24128,7769,18635,8140,20878,9290,194,74,54,20,5287,2744,844,2543,1317,16908,8113,15193,6937
"충청북도","국립",3,3,2,-,1,3,-,-,3,258,29647,10399,7209,2721,8906,2300,6382,2399,6971,2906,125,53,54,20,2625,1247,293,1378,791,5856,2459,5208,2174
"충청북도","사립",8,8,6,-,2,8,-,-,8,527,56278,23861,14827,6246,15222,5469,12253,5741,13907,6384,69,21,-,-,2662,1497,551,1165,526,11052,5654,9985,4763
"충청남도","계",13,13,9,-,4,13,-,-,13,981,136941,57842,34095,14405,39132,12845,30653,14197,32708,16242,320,136,33,17,8241,4478,1375,3763,1928,27136,13251,24242,12335
"충청남도","국립",2,2,2,-,-,2,-,-,2,158,16629,7191,3817,1775,5002,1642,3807,1757,3952,1993,51,24,-,-,1341,601,140,740,436,3373,1675,2953,1462
"충청남도","사립",11,11,7,-,4,11,-,-,11,823,120312,50651,30278,12630,34130,11203,26846,12440,28756,14249,269,112,33,17,6900,3877,1235,3023,1492,23763,11576,21289,10873
"전북특별자치도","계",8,8,4,-,4,8,-,-,8,531,71101,26894,17373,6975,21151,6146,15493,6242,16757,7381,216,94,111,56,4606,2511,680,2095,1116,13578,6005,12074,5331
"전북특별자치도","국립",2,2,2,-,-,2,-,-,2,235,32058,11976,7859,3091,9694,2674,6906,2786,7541,3385,28,17,30,23,2394,1322,270,1072,600,6257,2734,5370,2329
"전북특별자치도","사립",6,6,2,-,4,6,-,-,6,296,39043,14918,9514,3884,11457,3472,8587,3456,9216,3996,188,77,81,33,2212,1189,410,1023,516,7321,3271,6704,3002
"전라남도","계",10,10,6,-,4,10,-,-,10,424,35492,12886,9619,3493,10011,2859,7627,2925,7978,3496,189,81,68,32,2781,1323,380,1458,765,7554,3143,6735,2953
"전라남도","국립",4,4,3,-,1,4,-,-,4,289,23755,7608,6271,2040,7230,1779,4994,1728,5003,1948,189,81,68,32,2005,894,200,1111,607,5023,1864,3969,1575
"전라남도","사립",6,6,3,-,3,6,-,-,6,135,11737,5278,3348,1453,2781,1080,2633,1197,2975,1548,-,-,-,-,776,429,180,347,158,2531,1279,2766,1378
"경상북도","계",18,18,9,-,9,18,-,-,18,1242,129801,49895,35399,13248,35122,11129,27532,11489,31292,13800,328,157,128,72,8614,3803,982,4811,2534,26648,11996,22491,10015
"경상북도","국립",2,2,1,-,1,2,-,-,2,214,17368,4119,4867,1112,5427,1004,3480,937,3548,1044,46,22,-,-,1487,606,93,881,564,3474,999,2938,882
"경상북도","사립",16,16,8,-,8,16,-,-,16,1028,112433,45776,30532,12136,29695,10125,24052,10552,27744,12756,282,135,128,72,7127,3197,889,3930,1970,23174,10997,19553,9133
"경상남도","계",7,7,3,-,4,7,-,-,7,557,64339,25044,15880,6717,18730,5460,13646,5866,15794,6864,229,100,60,37,4924,2658,712,2266,1316,12697,5965,11645,5154
"경상남도","국립",2,2,1,-,1,2,-,-,2,322,38289,14318,9251,3660,11753,3154,8144,3409,8972,4014,139,63,30,18,3192,1818,404,1374,831,7361,3260,6049,2727
"경상남도","사립",5,5,2,-,3,5,-,-,5,235,26050,10726,6629,3057,6977,2306,5502,2457,6822,2850,90,37,30,19,1732,840,308,892,485,5336,2705,5596,2427
"제주특별자치도","계",2,2,-,-,2,2,-,-,2,147,13204,5864,3125,1440,3772,1239,2805,1378,3411,1769,61,29,30,9,1203,645,180,558,300,2414,1231,1983,1045
"제주특별자치도","국립",1,1,-,-,1,1,-,-,1,114,12891,5792,3059,1420,3641,1204,2755,1367,3345,1763,61,29,30,9,1144,612,169,532,295,2374,1220,1901,1029
"제주특별자치도","사립",1,1,-,-,1,1,-,-,1,33,313,72,66,20,131,35,50,11,66,6,-,-,-,-,59,33,11,26,5,40,11,82,16
